Title,Genre,Rating,Streaming,JustWatch Link
 Asur: Welcome to Your Dark Side (2020),"Crime, Drama, Mystery & Thriller",8.5 (66k),"Currently you are able to watch ""Asur: Welcome to Your Dark Side"" streaming on Jio Cinema or for free with ads on Jio Cinema. ",https://www.justwatch.com/in/tv-show/asur
 Batman: Caped Crusader (2024),"Action & Adventure, Crime, Kids & Family, Fantasy, Science-Fiction, Animation",7.6 (2.4k),"Currently you are able to watch ""Batman: Caped Crusader"" streaming on Amazon Prime Video. ",https://www.justwatch.com/in/tv-show/batman-caped-crusader
 36 Days (2024),Mystery & Thriller,4.7 (330),"Currently you are able to watch ""36 Days"" streaming on Sony Liv. ",https://www.justwatch.com/in/tv-show/36-days
 Those About to Die (2024),"Comedy, Drama, Action & Adventure",6.5 (8.4k),"Currently you are able to watch ""Those About to Die"" streaming on Amazon Prime Video. ",https://www.justwatch.com/in/tv-show/those-about-to-die
 Dark (2017),"Mystery & Thriller, Crime, Drama, Science-Fiction",8.7 (455k),"Currently you are able to watch ""Dark"" streaming on Netflix. ",https://www.justwatch.com/in/tv-show/dark
 The Family Man (2019),"Action & Adventure, Comedy, Drama",8.7 (100k),"Currently you are able to watch ""The Family Man"" streaming on Amazon Prime Video. ",https://www.justwatch.com/in/tv-show/the-family-man
 The Flash (2014),"Action & Adventure, Drama, Science-Fiction",7.5 (370k),"Currently you are able to watch ""The Flash"" streaming on Amazon Prime Video. ",https://www.justwatch.com/in/tv-show/the-flash
 La Brea (2021),"Drama, Science-Fiction, Action & Adventure",5.8 (17k),"Currently you are able to watch ""La Brea"" streaming on Jio Cinema. ",https://www.justwatch.com/in/tv-show/la-brea
 3 Body Problem (2024),"Science-Fiction, Fantasy, Drama",7.5 (134k),"Currently you are able to watch ""3 Body Problem"" streaming on Netflix. ",https://www.justwatch.com/in/tv-show/3-body-problem
 Farzi (2023),"Crime, Drama, Mystery & Thriller",8.4 (47k),"Currently you are able to watch ""Farzi"" streaming on Amazon Prime Video. ",https://www.justwatch.com/in/tv-show/farzi
 Bridgerton (2020),"Drama, Romance",7.4 (190k),"Currently you are able to watch ""Bridgerton"" streaming on Netflix. ",https://www.justwatch.com/in/tv-show/bridgerton
