Title,Year,Genre,IMDB Rating,Runtime,Age Rating,Production Country,Streaming Service,JustWatch URL
 Person of Interest ,2011,"Drama, Action & Adventure, Crime, Science-Fiction, Mystery & Thriller",8.5,44min,U,United States,Unavailable,https://www.justwatch.com/in/tv-show/person-of-interest
 Vikings: Valhalla ,2022,"Drama, History, Romance, War & Military, Action & Adventure",7.3,49min,,United States,Netflix,https://www.justwatch.com/in/tv-show/vikings-valhalla
 A Good Girl's Guide to Murder ,2024,"Crime, Mystery & Thriller",6.8,44min,,United Kingdom,Netflix,https://www.justwatch.com/in/tv-show/a-good-girls-guide-to-murder
 From ,2022,"Drama, Horror, Science-Fiction, Mystery & Thriller",7.7,50min,,United States,Unavailable,https://www.justwatch.com/in/tv-show/from
 Young Sheldon ,2017,"Comedy, Kids & Family",7.7,19min,,United States,Amazon Prime Video,https://www.justwatch.com/in/tv-show/young-sheldon
 The Legend of Hanuman ,2021,"Animation, Action & Adventure, Fantasy, Kids & Family",9.1,21min,,India,Hotstar or for free with ads on Hotstar,https://www.justwatch.com/in/tv-show/the-legend-of-hanuman
 Naruto ,2002,"Action & Adventure, Science-Fiction, Comedy, Fantasy, Animation",8.4,23min,,Japan,"Netflix, Channel",https://www.justwatch.com/in/tv-show/naruto
 How I Met Your Mother ,2005,"Comedy, Romance, Drama",8.3,24min,U,United States,Hotstar,https://www.justwatch.com/in/tv-show/how-i-met-your-mother
 Vikings ,2013,"Action & Adventure, Drama, War & Military, History, Romance, Made in Europe",8.5,45min,U,Canada,Netflix,https://www.justwatch.com/in/tv-show/vikings
 Heeramandi: The Diamond Bazaar ,2024,"History, Romance, Drama, War & Military",6.4,54min,,India,Netflix,https://www.justwatch.com/in/tv-show/heeramandi
 Euphoria ,2019,Drama,8.3,58min,A,United States,Jio Cinema,https://www.justwatch.com/in/tv-show/euphoria
 Peaky Blinders ,2013,"Drama, Crime",8.8,58min,A,United Kingdom,Netflix,https://www.justwatch.com/in/tv-show/peaky-blinders
 The Decameron ,2024,"Drama, Comedy, History",6.3,55min,,United States,Netflix,https://www.justwatch.com/in/tv-show/the-decameron
 Sunflower ,2021,"Comedy, Crime",7.4,38min,A,India,Zee,https://www.justwatch.com/in/tv-show/sunflower-2021
 Supacell ,2024,"Science-Fiction, Drama, Action & Adventure",7.0,52min,,United Kingdom,Netflix,https://www.justwatch.com/in/tv-show/supacell
 Naruto Shippūden ,2007,"Science-Fiction, Animation, Action & Adventure, Comedy, Drama, Fantasy",8.7,24min,U,Japan,"Netflix, Channel or for free with ads on Crunchyroll",https://www.justwatch.com/in/tv-show/naruto-shippuden
 Doctor Stranger ,2014,"Drama, Crime, Action & Adventure, Romance",7.5,59min,,"Korea, Republic of",Netflix or for free with ads on Zee,https://www.justwatch.com/in/tv-show/doctor-stranger
 The Acolyte ,2024,"Science-Fiction, Mystery & Thriller, Action & Adventure, Drama, Fantasy",4.0,38min,,United States,Hotstar,https://www.justwatch.com/in/tv-show/the-acolyte
 Kleo ,2022,"Drama, Mystery & Thriller, Action & Adventure, Crime, Comedy",7.5,50min,A,Germany,Netflix,https://www.justwatch.com/in/tv-show/kleo
 Lost ,2004,"Mystery & Thriller, Action & Adventure, Drama, Science-Fiction, Fantasy",8.3,43min,U,United States,Unavailable,https://www.justwatch.com/in/tv-show/lost
