titles_years,genres,ratings,streamings,justwatchs
 Oppenheimer (2023),"Drama, History",8.3 (776k),"Currently you are able to watch ""Oppenheimer"" streaming on Jio Cinema or for free with ads on Jio Cinema. It is also possible to rent ""Oppenheimer"" on Zee5, Amazon Video, Apple TV, Google Play Movies, YouTube, Hungama Play online and to download it on Google Play Movies, YouTube, Apple TV. ",https://www.justwatch.com/in/movie/oppenheimer
 Maharaj (2024),"Drama, History, Mystery & Thriller, Crime",6.5 (11k),"Currently you are able to watch ""Maharaj"" streaming on Netflix. ",https://www.justwatch.com/in/movie/maharaj
 Bhaiyya Ji (2024),"Action & Adventure, Drama",5.4 (6.4k),"Currently you are able to watch ""Bhaiyya Ji"" streaming on Zee5. ",https://www.justwatch.com/in/movie/bhaiyaaji
 Mr. & Mrs. Mahi (2024),"Romance, Drama, Sport",6.1 (14k),"Currently you are able to watch ""Mr. & Mrs. Mahi"" streaming on Netflix. ",https://www.justwatch.com/in/movie/mr-and-mrs-mahi
 Hit Man (2024),"Comedy, Romance, Crime",6.9 (74k),"Currently you are able to watch ""Hit Man"" streaming on Netflix. ",https://www.justwatch.com/in/movie/hit-man
 Agent (2023),"Mystery & Thriller, Action & Adventure",4.1 (1.3k),Unavalilabe,https://www.justwatch.com/in/movie/agent
 Wild Wild Punjab (2024),"Action & Adventure, Comedy, Romance",6.6 (14k),"Currently you are able to watch ""Wild Wild Punjab"" streaming on Netflix. ",https://www.justwatch.com/in/movie/wild-wild-punjab
 Dune (2021),"Science-Fiction, Action & Adventure, Drama",8.0 (892k),"Currently you are able to watch ""Dune"" streaming on Netflix. It is also possible to buy ""Dune"" on Apple TV, Google Play Movies, YouTube as download or rent it on Amazon Video, Apple TV, Google Play Movies, YouTube online. ",https://www.justwatch.com/in/movie/dune-2021
 Godzilla Minus One (2023),"Horror, Action & Adventure, Science-Fiction, Drama",7.7 (140k),"Currently you are able to watch ""Godzilla Minus One"" streaming on Netflix. ",https://www.justwatch.com/in/movie/godzilla-minus-one
 A Quiet Place: Day One (2024),"Horror, Science-Fiction, Mystery & Thriller, Drama",6.5 (57k),Unavalilabe,https://www.justwatch.com/in/movie/a-quiet-place-day-one
 Stree (2018),"Horror, Comedy, Drama",7.5 (39k),"Currently you are able to watch ""Stree"" streaming on Hotstar. It is also possible to buy ""Stree"" on Apple TV, Google Play Movies, YouTube as download or rent it on Google Play Movies, YouTube, Apple TV online. ",https://www.justwatch.com/in/movie/stree
 Animal (2023),"Drama, Mystery & Thriller, Action & Adventure, Crime",6.2 (95k),"Currently you are able to watch ""Animal"" streaming on Netflix. ",https://www.justwatch.com/in/movie/animal-2022
 Triangle (2009),"Horror, Mystery & Thriller, Fantasy, Science-Fiction, Made in Europe",6.9 (132k),Unavalilabe,https://www.justwatch.com/in/movie/triangle
 Inside Out 2 (2024),"Animation, Comedy, Drama, Kids & Family, Fantasy",7.8 (91k),Unavalilabe,https://www.justwatch.com/in/movie/inside-out-2
 Love Lies Bleeding (2024),"Mystery & Thriller, Crime, Romance, Action & Adventure",6.7 (35k),"Currently you are able to watch ""Love Lies Bleeding"" streaming on Amazon Prime Video. ",https://www.justwatch.com/in/movie/love-lies-bleeding-2024
 Guruvayoor Ambalanadayil (2024),Comedy,6.6 (2.8k),"Currently you are able to watch ""Guruvayoor Ambalanadayil"" streaming on Hotstar. ",https://www.justwatch.com/in/movie/guruvayoor-ambalanadayil
 12th Fail (2023),Drama,8.9 (124k),"Currently you are able to watch ""12th Fail"" streaming on Hotstar. ",https://www.justwatch.com/in/movie/12th-fail
 Maidaan (2024),"Drama, History, Sport",8.1 (17k),"Currently you are able to watch ""Maidaan"" streaming on Amazon Prime Video or rent it on Amazon Video online. ",https://www.justwatch.com/in/movie/maidaan
 Deadpool 2 (2018),"Action & Adventure, Comedy, Science-Fiction",7.6 (665k),"Currently you are able to watch ""Deadpool 2"" streaming on Hotstar. It is also possible to buy ""Deadpool 2"" on Google Play Movies, YouTube, Apple TV as download or rent it on Google Play Movies, YouTube, Amazon Video, Apple TV online. ",https://www.justwatch.com/in/movie/deadpool-2
 Salaar (2023),"Drama, Mystery & Thriller, Action & Adventure, Crime",6.5 (68k),"Currently you are able to watch ""Salaar"" streaming on Netflix, Hotstar. ",https://www.justwatch.com/in/movie/salaar
 Savi (2024),"Mystery & Thriller, Action & Adventure, Drama, Romance",6.6 (18k),"Currently you are able to watch ""Savi"" streaming on Netflix. ",https://www.justwatch.com/in/movie/savi-a-bloody-housewife
 Laila Majnu (2018),"Drama, Romance",7.7 (5.1k),"Currently you are able to watch ""Laila Majnu"" streaming on Zee5. ",https://www.justwatch.com/in/movie/laila-majnu
 Rockstar (2011),"Drama, Music & Musical, Romance",7.8 (50k),"Currently you are able to watch ""Rockstar"" streaming on Jio Cinema, Zee5, Eros Now Select Apple TV Channel or for free with ads on Jio Cinema. It is also possible to rent ""Rockstar"" on Apple TV online and to download it on Apple TV. ",https://www.justwatch.com/in/movie/rockstar
 The Zone of Interest (2023),"Drama, History, War & Military",7.4 (104k),"Currently you are able to watch ""The Zone of Interest"" streaming on Amazon Prime Video. ",https://www.justwatch.com/in/movie/the-zone-of-interest
 Perfect Days (2023),Drama,7.9 (52k),"Currently you are able to watch ""Perfect Days"" streaming on MUBI, MUBI Amazon Channel. ",https://www.justwatch.com/in/movie/perfect-days
 Hanu-Man (2024),"Science-Fiction, Fantasy, Action & Adventure",7.8 (26k),"Currently you are able to watch ""Hanu-Man"" streaming on Hotstar, Jio Cinema, Zee5 or for free with ads on Jio Cinema. ",https://www.justwatch.com/in/movie/hanu-man
