Title_Year,Genre,IMDB Rating,Streaming Service,Runtime,Age Rating,Production Country,JustWatch URL
 Stranger Things (2016),"Mystery & Thriller, Action & Adventure, Drama, Science-Fiction, Fantasy, Horror",8.7 (1m),"Currently you are able to watch ""Stranger Things"" streaming on Netflix. ",1h 1min,,United States,https://www.justwatch.com/in/tv-show/stranger-things
 The Rookie (2018),"Crime, Drama, Comedy, Action & Adventure",8.0 (79k),Currently Unavailable,42min,,United States,https://www.justwatch.com/in/tv-show/the-rookie
 Asur: Welcome to Your Dark Side (2020),"Mystery & Thriller, Crime, Drama",8.5 (66k),"Currently you are able to watch ""Asur: Welcome to Your Dark Side"" streaming on Jio Cinema or for free with ads on Jio Cinema. ",47min,,India,https://www.justwatch.com/in/tv-show/asur
 Fallout (2024),"Drama, Science-Fiction, War & Military, Action & Adventure, Mystery & Thriller",8.4 (236k),"Currently you are able to watch ""Fallout"" streaming on Amazon Prime Video. ",59min,A,United States,https://www.justwatch.com/in/tv-show/fallout
 Cobra Kai (2018),"Action & Adventure, Comedy, Drama, Sport",8.5 (210k),"Currently you are able to watch ""Cobra Kai"" streaming on Netflix. ",34min,A,United States,https://www.justwatch.com/in/tv-show/cobra-kai
 Those About to Die (2024),"Action & Adventure, Comedy, Drama",6.5 (8.8k),"Currently you are able to watch ""Those About to Die"" streaming on Amazon Prime Video. ",53min,,"United States,Germany,Italy",https://www.justwatch.com/in/tv-show/those-about-to-die
 36 Days (2024),Mystery & Thriller,4.7 (334),"Currently you are able to watch ""36 Days"" streaming on Sony Liv. ",37min,,India,https://www.justwatch.com/in/tv-show/36-days
 The Family Man (2019),"Action & Adventure, Comedy, Drama",8.7 (100k),"Currently you are able to watch ""The Family Man"" streaming on Amazon Prime Video. ",45min,,India,https://www.justwatch.com/in/tv-show/the-family-man
 The Flash (2014),"Action & Adventure, Drama, Science-Fiction",7.5 (370k),"Currently you are able to watch ""The Flash"" streaming on Amazon Prime Video. ",45min,,United States,https://www.justwatch.com/in/tv-show/the-flash
 Dark (2017),"Drama, Science-Fiction, Mystery & Thriller, Crime",8.7 (455k),"Currently you are able to watch ""Dark"" streaming on Netflix. ",56min,,Germany,https://www.justwatch.com/in/tv-show/dark
 La Brea (2021),"Science-Fiction, Drama, Action & Adventure",5.8 (17k),"Currently you are able to watch ""La Brea"" streaming on Jio Cinema. ",42min,,United States,https://www.justwatch.com/in/tv-show/la-brea
 Farzi (2023),"Crime, Drama, Mystery & Thriller",8.4 (47k),"Currently you are able to watch ""Farzi"" streaming on Amazon Prime Video. ",56min,,India,https://www.justwatch.com/in/tv-show/farzi
 3 Body Problem (2024),"Science-Fiction, Fantasy, Drama",7.5 (134k),"Currently you are able to watch ""3 Body Problem"" streaming on Netflix. ",56min,A,United States,https://www.justwatch.com/in/tv-show/3-body-problem
 Westworld (2016),"Drama, Science-Fiction, Western",8.5 (537k),"Currently you are able to watch ""Westworld"" streaming on Jio Cinema. ",1h 1min,A,United States,https://www.justwatch.com/in/tv-show/westworld
 Mad Men (2007),Drama,8.7 (263k),"Currently you are able to watch ""Mad Men"" streaming on Netflix, Lionsgate Play, Lionsgate Play Apple TV Channel, Lionsgate Play Amazon Channel. ",49min,U,United States,https://www.justwatch.com/in/tv-show/mad-men
 Jamnapaar (2024),Drama,8.2 (3.2k),"Currently you are able to watch ""Jamnapaar"" streaming on MX Player, Amazon miniTV for free with ads. ",32min,,India,https://www.justwatch.com/in/tv-show/jamnapaar
 Bridgerton (2020),"Drama, Romance",7.4 (190k),"Currently you are able to watch ""Bridgerton"" streaming on Netflix. ",1h 1min,A,United States,https://www.justwatch.com/in/tv-show/bridgerton
 Jeet Ki Zid (2021),"Action & Adventure, Drama",8.3 (2.6k),"Currently you are able to watch ""Jeet Ki Zid"" streaming on Zee5, VI movies and tv. ",39min,UA,India,https://www.justwatch.com/in/tv-show/jeet-ki-zid
 Unsolved Mysteries (2020),"Crime, Documentary",7.3 (13k),"Currently you are able to watch ""Unsolved Mysteries"" streaming on Netflix. ",46min,,United States,https://www.justwatch.com/in/tv-show/unsolved-mysteries-2020
 The Good Doctor (2017),Drama,8.0 (118k),"Currently you are able to watch ""The Good Doctor"" streaming on Amazon Prime Video, Netflix, Sony Liv. ",43min,U,United States,https://www.justwatch.com/in/tv-show/the-good-doctor
 Land of Tanabata (2024),"Drama, Science-Fiction, Mystery & Thriller, Fantasy",6.4 (128),"Currently you are able to watch ""Land of Tanabata"" streaming on Hotstar. ",47min,,Japan,https://www.justwatch.com/in/tv-show/land-of-tanabata
 Fargo (2014),"Crime, Drama, Mystery & Thriller",8.9 (427k),"Currently you are able to watch ""Fargo"" streaming on Amazon Prime Video. ",52min,U,United States,https://www.justwatch.com/in/tv-show/fargo
 Dark Matter (2024),"Drama, Science-Fiction, Mystery & Thriller",7.7 (35k),"Currently you are able to watch ""Dark Matter"" streaming on Apple TV Plus. ",52min,A,United States,https://www.justwatch.com/in/tv-show/dark-matter-2024
 True Detective (2014),"Drama, Mystery & Thriller, Crime",8.9 (666k),"Currently you are able to watch ""True Detective"" streaming on Jio Cinema. ",1h 1min,U,United States,https://www.justwatch.com/in/tv-show/true-detective
 MTV Splitsvilla (2008),"Drama, Reality TV, Romance",3.8 (598),"Currently you are able to watch ""MTV Splitsvilla"" streaming on Jio Cinema for free with ads. ",45min,U,India,https://www.justwatch.com/in/tv-show/mtv-splitsvilla
 Gandii Baat (2018),"Crime, Drama, Mystery & Thriller",3.4 (3k),"Currently you are able to watch ""Gandii Baat"" streaming on Alt Balaji. ",44min,A,India,https://www.justwatch.com/in/tv-show/gandii-baat
 Mayor of Kingstown (2021),"Drama, Crime, Mystery & Thriller",8.2 (52k),"Currently you are able to watch ""Mayor of Kingstown"" streaming on Amazon Prime Video. ",47min,,United States,https://www.justwatch.com/in/tv-show/mayor-of-kingstown
 You (2018),"Drama, Romance, Mystery & Thriller, Crime",7.7 (306k),"Currently you are able to watch ""You"" streaming on Netflix. ",48min,A,United States,https://www.justwatch.com/in/tv-show/you
 Jujutsu Kaisen (2020),"Mystery & Thriller, Animation, Action & Adventure, Fantasy, Science-Fiction",8.6 (126k),"Currently you are able to watch ""Jujutsu Kaisen"" streaming on Netflix, Crunchyroll, Crunchyroll Amazon Channel, Anime Times Amazon Channel or for free with ads on Crunchyroll. ",24min,,"United States,Japan",https://www.justwatch.com/in/tv-show/jujutsu-kaisen
 Master of the House (2024),"Drama, Mystery & Thriller",6.2 (726),"Currently you are able to watch ""Master of the House"" streaming on Netflix. ",51min,,Thailand,https://www.justwatch.com/in/tv-show/master-of-the-house
 Scam 1992 (2020),"Crime, Drama, Mystery & Thriller",9.3 (151k),"Currently you are able to watch ""Scam 1992"" streaming on Sony Liv. ",52min,,India,https://www.justwatch.com/in/tv-show/scam-1992
 Under the Dome (2013),"Drama, Mystery & Thriller, Science-Fiction",6.5 (113k),"Currently you are able to watch ""Under the Dome"" streaming on Amazon Prime Video. ",43min,,United States,https://www.justwatch.com/in/tv-show/under-the-dome
 The Walking Dead (2010),"Science-Fiction, Action & Adventure, Drama, Horror, Mystery & Thriller",8.1 (1m),"Currently you are able to watch ""The Walking Dead"" streaming on Netflix, Amazon Prime Video. ",46min,U,United States,https://www.justwatch.com/in/tv-show/the-walking-dead
 Person of Interest (2011),"Drama, Action & Adventure, Crime, Science-Fiction, Mystery & Thriller",8.5 (191k),Currently Unavailable,44min,U,United States,https://www.justwatch.com/in/tv-show/person-of-interest
 Vikings: Valhalla (2022),"Drama, History, Romance, War & Military, Action & Adventure",7.3 (61k),"Currently you are able to watch ""Vikings: Valhalla"" streaming on Netflix. ",49min,,United States,https://www.justwatch.com/in/tv-show/vikings-valhalla
 A Good Girl's Guide to Murder (2024),"Crime, Mystery & Thriller",6.8 (3.7k),"Currently you are able to watch ""A Good Girl's Guide to Murder"" streaming on Netflix. ",44min,,United Kingdom,https://www.justwatch.com/in/tv-show/a-good-girls-guide-to-murder
 From (2022),"Drama, Horror, Science-Fiction, Mystery & Thriller",7.7 (79k),Currently Unavailable,50min,,United States,https://www.justwatch.com/in/tv-show/from
 Young Sheldon (2017),"Comedy, Kids & Family",7.7 (115k),"Currently you are able to watch ""Young Sheldon"" streaming on Amazon Prime Video, Netflix. ",19min,,United States,https://www.justwatch.com/in/tv-show/young-sheldon
 The Legend of Hanuman (2021),"Animation, Action & Adventure, Fantasy, Kids & Family",9.1 (13k),"Currently you are able to watch ""The Legend of Hanuman"" streaming on Hotstar or for free with ads on Hotstar. ",21min,,India,https://www.justwatch.com/in/tv-show/the-legend-of-hanuman
 Naruto (2002),"Action & Adventure, Science-Fiction, Comedy, Fantasy, Animation",8.4 (132k),"Currently you are able to watch ""Naruto"" streaming on Netflix, Anime Times Amazon Channel. ",23min,,Japan,https://www.justwatch.com/in/tv-show/naruto
 How I Met Your Mother (2005),"Comedy, Romance, Drama",8.3 (736k),"Currently you are able to watch ""How I Met Your Mother"" streaming on Hotstar. ",24min,U,United States,https://www.justwatch.com/in/tv-show/how-i-met-your-mother
 Vikings (2013),"Action & Adventure, Drama, War & Military, History, Romance, Made in Europe",8.5 (592k),"Currently you are able to watch ""Vikings"" streaming on Netflix. ",45min,U,Canada,https://www.justwatch.com/in/tv-show/vikings
 Heeramandi: The Diamond Bazaar (2024),"History, Romance, Drama, War & Military",6.4 (27k),"Currently you are able to watch ""Heeramandi: The Diamond Bazaar"" streaming on Netflix. ",54min,,India,https://www.justwatch.com/in/tv-show/heeramandi
 Euphoria (2019),Drama,8.3 (250k),"Currently you are able to watch ""Euphoria"" streaming on Jio Cinema. ",58min,A,United States,https://www.justwatch.com/in/tv-show/euphoria
 Peaky Blinders (2013),"Drama, Crime",8.8 (665k),"Currently you are able to watch ""Peaky Blinders"" streaming on Netflix. ",58min,A,United Kingdom,https://www.justwatch.com/in/tv-show/peaky-blinders
 The Decameron (2024),"Drama, Comedy, History",6.3 (3k),"Currently you are able to watch ""The Decameron"" streaming on Netflix. ",55min,,United States,https://www.justwatch.com/in/tv-show/the-decameron
 Sunflower (2021),"Comedy, Crime",7.4 (24k),"Currently you are able to watch ""Sunflower"" streaming on Zee5, VI movies and tv. ",38min,A,India,https://www.justwatch.com/in/tv-show/sunflower-2021
 Supacell (2024),"Science-Fiction, Drama, Action & Adventure",7.0 (14k),"Currently you are able to watch ""Supacell"" streaming on Netflix. ",52min,,United Kingdom,https://www.justwatch.com/in/tv-show/supacell
 Naruto Shippūden (2007),"Science-Fiction, Animation, Action & Adventure, Comedy, Drama, Fantasy",8.7 (176k),"Currently you are able to watch ""Naruto Shippūden"" streaming on Netflix, Crunchyroll, Crunchyroll Amazon Channel or for free with ads on Crunchyroll. ",24min,U,Japan,https://www.justwatch.com/in/tv-show/naruto-shippuden
 Doctor Stranger (2014),"Drama, Crime, Action & Adventure, Romance",7.5 (3.6k),"Currently you are able to watch ""Doctor Stranger"" streaming on Netflix or for free with ads on Zee5. ",59min,,"Korea, Republic of",https://www.justwatch.com/in/tv-show/doctor-stranger
 The Acolyte (2024),"Science-Fiction, Mystery & Thriller, Action & Adventure, Drama, Fantasy",4.0 (112k),"Currently you are able to watch ""The Acolyte"" streaming on Hotstar. ",38min,,United States,https://www.justwatch.com/in/tv-show/the-acolyte
 Kleo (2022),"Drama, Mystery & Thriller, Action & Adventure, Crime, Comedy",7.5 (14k),"Currently you are able to watch ""Kleo"" streaming on Netflix. ",50min,A,Germany,https://www.justwatch.com/in/tv-show/kleo
 Lost (2004),"Mystery & Thriller, Action & Adventure, Drama, Science-Fiction, Fantasy",8.3 (604k),Currently Unavailable,43min,U,United States,https://www.justwatch.com/in/tv-show/lost
 Alice in Borderland (2020),"Science-Fiction, Mystery & Thriller, Action & Adventure, Drama",7.7 (100k),"Currently you are able to watch ""Alice in Borderland"" streaming on Netflix. ",54min,,Japan,https://www.justwatch.com/in/tv-show/alice-in-borderland
 Paatal Lok (2020),"Drama, Crime, Mystery & Thriller",8.1 (66k),"Currently you are able to watch ""Paatal Lok"" streaming on Amazon Prime Video. ",43min,A,India,https://www.justwatch.com/in/tv-show/paatal-lok
 Tulsa King (2022),"Drama, Crime",8.0 (74k),"Currently you are able to watch ""Tulsa King"" streaming on Jio Cinema. ",38min,,United States,https://www.justwatch.com/in/tv-show/tulsa-king
 Prison Break (2005),"Action & Adventure, Mystery & Thriller, Crime, Drama, Made in Europe",8.3 (581k),"Currently you are able to watch ""Prison Break"" streaming on Hotstar. ",50min,U,United States,https://www.justwatch.com/in/tv-show/prison-break
 Spartacus (2010),"Drama, Romance, Action & Adventure",8.5 (259k),"Currently you are able to watch ""Spartacus"" streaming on Lionsgate Play, Lionsgate Play Apple TV Channel, Lionsgate Play Amazon Channel. ",54min,,United States,https://www.justwatch.com/in/tv-show/spartacus
 Modern Family (2009),"Comedy, Drama, Romance",8.5 (492k),"Currently you are able to watch ""Modern Family"" streaming on Hotstar. ",21min,,United States,https://www.justwatch.com/in/tv-show/modern-family
 Devil's Peak (2023),"Drama, Mystery & Thriller, Crime",7.2 (139),"Currently you are able to watch ""Devil's Peak"" streaming on BBC Player Amazon Channel. ",52min,,South Africa,https://www.justwatch.com/in/tv-show/devils-peak
 Damaged (2018),"Crime, Drama, Horror, Mystery & Thriller",5.5 (267),"Currently you are able to watch ""Damaged"" streaming on VI movies and tv. ",20min,,India,https://www.justwatch.com/in/tv-show/damaged
 Hidden Love (2023),Drama,,"Currently you are able to watch ""Hidden Love"" streaming on Netflix. ",45min,,China,https://www.justwatch.com/in/tv-show/hidden-love
 Supernatural (2005),"Drama, Science-Fiction, Fantasy, Horror, Mystery & Thriller",8.4 (490k),"Currently you are able to watch ""Supernatural"" streaming on Amazon Prime Video. ",45min,,United States,https://www.justwatch.com/in/tv-show/supernatural
 All of Us Are Dead (2022),"Science-Fiction, Action & Adventure, Drama, Fantasy, Horror, Mystery & Thriller",7.5 (69k),"Currently you are able to watch ""All of Us Are Dead"" streaming on Netflix. ",1h 1min,,"Korea, Republic of",https://www.justwatch.com/in/tv-show/all-of-us-are-dead
 My Lady Jane (2024),"Drama, Science-Fiction, Comedy, Fantasy, History, Romance",7.4 (11k),"Currently you are able to watch ""My Lady Jane"" streaming on Amazon Prime Video. ",50min,,United States,https://www.justwatch.com/in/tv-show/my-lady-jane
 Maxton Hall: The World Between Us (2024),"Romance, Drama",7.5 (12k),"Currently you are able to watch ""Maxton Hall: The World Between Us"" streaming on Amazon Prime Video. ",45min,,Germany,https://www.justwatch.com/in/tv-show/maxton-hall-the-world-between-us
 Parks and Recreation (2009),Comedy,8.6 (292k),Currently Unavailable,22min,,United States,https://www.justwatch.com/in/tv-show/parks-and-recreation
 Red Swan (2024),"Action & Adventure, Drama, Romance",6.6 (442),"Currently you are able to watch ""Red Swan"" streaming on Hotstar. ",1h 0min,,"Korea, Republic of",https://www.justwatch.com/in/tv-show/red-swan
 The Wire (2002),"Crime, Drama, Mystery & Thriller",9.3 (383k),"Currently you are able to watch ""The Wire"" streaming on Jio Cinema. ",59min,,United States,https://www.justwatch.com/in/tv-show/the-wire
 Lucifer (2016),"Crime, Science-Fiction, Drama, Fantasy",8.1 (361k),"Currently you are able to watch ""Lucifer"" streaming on Netflix. ",47min,U,United States,https://www.justwatch.com/in/tv-show/lucifer
 Dark Desire (2020),"Mystery & Thriller, Drama",6.5 (9.5k),"Currently you are able to watch ""Dark Desire"" streaming on Netflix. ",34min,,Mexico,https://www.justwatch.com/in/tv-show/dark-desire
 Yellowstone (2018),"Drama, Western",8.7 (230k),"Currently you are able to watch ""Yellowstone"" streaming on Netflix. ",50min,,United States,https://www.justwatch.com/in/tv-show/yellowstone
 Mirzapur (2018),"Action & Adventure, Drama, Crime, Mystery & Thriller",8.5 (86k),"Currently you are able to watch ""Mirzapur"" streaming on Amazon Prime Video. ",50min,A,India,https://www.justwatch.com/in/tv-show/mirzapur
 House of the Dragon (2022),"Drama, Action & Adventure, Science-Fiction, Fantasy, Romance",8.4 (423k),"Currently you are able to watch ""House of the Dragon"" streaming on Jio Cinema. ",1h 2min,A,United States,https://www.justwatch.com/in/tv-show/house-of-the-dragon
 The Boys (2019),"Action & Adventure, Science-Fiction, Comedy, Crime, Drama",8.7 (704k),"Currently you are able to watch ""The Boys"" streaming on Amazon Prime Video. ",1h 1min,A,United States,https://www.justwatch.com/in/tv-show/the-boys
 Panchayat (2020),"Comedy, Drama",9.0 (96k),"Currently you are able to watch ""Panchayat"" streaming on Amazon Prime Video. ",35min,,India,https://www.justwatch.com/in/tv-show/panchayat
 Sweet Home (2020),"Science-Fiction, Fantasy, Horror, Mystery & Thriller, Drama",7.3 (34k),"Currently you are able to watch ""Sweet Home"" streaming on Netflix. ",58min,A,"Korea, Republic of",https://www.justwatch.com/in/tv-show/sweet-home
Rising Impact - Season 2 (2024),"Drama, Animation, Sport",7.5 (263),Currently Unavailable,27min,,Japan,https://www.justwatch.com/in/tv-show/rising-impact/season-2
The Umbrella Academy - Season 4 (2023),"Comedy, Drama, Fantasy, Science-Fiction, Action & Adventure",7.9 (280k),Currently Unavailable,53min,,United States,https://www.justwatch.com/in/tv-show/the-umbrella-academy/season-4
Yo Gabba Gabba! - Season 4 (2011),"Animation, Kids & Family, Music & Musical, Comedy, Drama",6.9 (1.9k),Currently Unavailable,24min,,United States,https://www.justwatch.com/in/tv-show/yo-gabba-gabba/season-4
Yo Gabba Gabba! - Season 1 (2007),"Animation, Kids & Family, Music & Musical, Comedy, Drama",6.9 (1.9k),Currently Unavailable,24min,,United States,https://www.justwatch.com/in/tv-show/yo-gabba-gabba/season-1
Yo Gabba Gabba! - Season 18 (2007),"Animation, Kids & Family, Music & Musical, Comedy, Drama",6.9 (1.9k),Currently Unavailable,,,United States,https://www.justwatch.com/in/tv-show/yo-gabba-gabba/season-18
