Title,Year,Genre,IMDB Rating,Runtime,Age Rating,Production Country,Streaming Service,JustWatch URL
 Monster ,2023,"Mystery & Thriller, Drama",7.8,2h 5min,,Japan,Amazon Prime Video,https://www.justwatch.com/in/movie/monster-2023
 Hridayam ,2022,"Drama, Romance",8.1,2h 52min,U,India,Hotstar,https://www.justwatch.com/in/movie/hridayam
 Jawan ,2023,"Action & Adventure, Mystery & Thriller, Crime, Drama",7.0,2h 49min,UA,India,"Netflix, Apple TV, Google Play Movies",https://www.justwatch.com/in/movie/jawan
 Satyabhama ,2024,"Mystery & Thriller, Crime, Drama",6.7,2h 12min,UA,India,Amazon Prime Video,https://www.justwatch.com/in/movie/satyabhama
 Bramayugam ,2024,"Drama, Horror, Mystery & Thriller",7.9,2h 19min,UA,India,Sony Liv,https://www.justwatch.com/in/movie/bramayugam
 Babylon ,2022,"Drama, Comedy, History",7.1,3h 9min,A,United States,"Netflix, Google Play Movies, Amazon Video",https://www.justwatch.com/in/movie/babylon-2022
 The Wolf of Wall Street ,2013,"Crime, Drama, Comedy",8.2,3h 0min,A,United States,"Lionsgate Play, Channel, Google Play Movies, Amazon Video",https://www.justwatch.com/in/movie/the-wolf-of-wall-street
 Kill ,2011,"Mystery & Thriller, Comedy, Horror",4.4,1h 30min,,"Canada,United States",Unavailable,https://www.justwatch.com/in/movie/kill
 Exhuma ,2024,"Mystery & Thriller, Horror",6.9,2h 14min,UA,"Korea, Republic of",Unavailable,https://www.justwatch.com/in/movie/exhuma
 Tumbbad ,2018,"Horror, Drama, Fantasy, Mystery & Thriller, Made in Europe",8.2,1h 53min,A,"Sweden,India",Unavailable,https://www.justwatch.com/in/movie/tumbbad
 Malayalee from India ,2024,"Action & Adventure, Comedy, Drama",5.8,2h 40min,,India,Sony Liv,https://www.justwatch.com/in/movie/malayalee-from-india
 A Quiet Place ,2018,"Horror, Drama, Science-Fiction",7.5,1h 31min,A,United States,"Netflix, Prime Video, Google Play Movies, Amazon Video",https://www.justwatch.com/in/movie/a-quiet-place
 Kakuda ,2024,"Comedy, Horror",,1h 57min,,India,Zee,https://www.justwatch.com/in/movie/kakuda
 Chandni Chowk to China ,2009,"Action & Adventure, Comedy, Drama, Fantasy",4.3,2h 34min,U,"China,India,Thailand",Unavailable,https://www.justwatch.com/in/movie/chandni-chowk-to-china
 Vanished into the Night ,2024,"Mystery & Thriller, Drama",5.2,1h 33min,,Italy,Netflix,https://www.justwatch.com/in/movie/vanished-into-the-night
 Madgaon Express ,2024,"Drama, Comedy",7.1,2h 23min,UA,India,"Express, Amazon Prime Video or rent it on Amazon Video online",https://www.justwatch.com/in/movie/madgaon-express
 Gladiator ,2000,"Action & Adventure, Drama",8.5,2h 35min,,"United Kingdom,United States","Amazon Prime Video, Apple TV, Zee, Video",https://www.justwatch.com/in/movie/gladiator
 K.G.F: Chapter 1 ,2018,"Mystery & Thriller, Action & Adventure, Crime, Drama",8.2,2h 36min,UA,India,Hotstar for free with ads,https://www.justwatch.com/in/movie/k-g-f-chapter-1
 Vikram ,2022,"Mystery & Thriller, Action & Adventure, Crime, Drama",8.3,2h 54min,UA,India,"Zee, Hotstar",https://www.justwatch.com/in/movie/vikram-2021
 Anyone But You ,2023,"Romance, Comedy",6.1,1h 43min,A,United States,"Netflix, Apple TV, Zee, Video",https://www.justwatch.com/in/movie/anyone-but-you
 Sultan ,2016,"Romance, Action & Adventure, Drama, Sport",7.1,2h 50min,UA,India,"Amazon Prime Video, Apple TV, Google Play Movies, Video",https://www.justwatch.com/in/movie/sultan
 Aattam ,2024,"Drama, Mystery & Thriller",8.2,2h 19min,UA,India,Amazon Prime Video,https://www.justwatch.com/in/movie/aattam
 Incendies ,2010,"Drama, War & Military, Mystery & Thriller, Made in Europe",8.3,2h 11min,,"Canada,France",Unavailable,https://www.justwatch.com/in/movie/incendies
 The Holdovers ,2023,"Drama, Comedy",7.9,2h 13min,A,United States,"Jio Cinema, Apple TV, Zee, Video",https://www.justwatch.com/in/movie/the-holdovers
 The Witch ,2016,"Horror, Drama, Mystery & Thriller, Fantasy, Made in Europe",7.0,1h 32min,A,"Brazil,Canada,United Kingdom,United States",Unavailable,https://www.justwatch.com/in/movie/the-witch
 Spider-Man: No Way Home ,2021,"Science-Fiction, Fantasy, Action & Adventure",8.2,2h 28min,UA,United States,"Netflix, Apple TV, Zee, Video",https://www.justwatch.com/in/movie/spider-man-no-way-home
 Crew ,2024,"Comedy, Drama",5.9,1h 58min,UA,India,Netflix,https://www.justwatch.com/in/movie/the-crew-2024
 HAIKYU!! The Dumpster Battle ,2024,"Animation, Drama, Sport, Comedy",7.8,1h 24min,,Japan,Unavailable,https://www.justwatch.com/in/movie/haikyu-the-movie-decisive-battle-at-the-garbage-dump
 The Garfield Movie ,2024,"Action & Adventure, Animation, Comedy, Kids & Family, Fantasy",5.7,1h 41min,U,"United Kingdom,United States,Hong Kong",Unavailable,https://www.justwatch.com/in/movie/garfield-2021
 Naa Saami Ranga ,2024,"Drama, Action & Adventure",4.4,2h 30min,UA,India,Hotstar or for free with ads on Jio Cinema,https://www.justwatch.com/in/movie/naa-saami-ranga
 A Hard Day ,2014,"Crime, Mystery & Thriller, Action & Adventure",7.2,1h 51min,,"Korea, Republic of","Amazon Prime Video, Apple TV as download or rent it on Apple TV online",https://www.justwatch.com/in/movie/a-hard-day
 The Instigators ,2024,"Action & Adventure, Comedy, Crime, Drama, Mystery & Thriller",6.6,1h 41min,A,United States,Unavailable,https://www.justwatch.com/in/movie/the-instigators
 Daughters ,2024,Documentary,8.1,1h 48min,,"United Kingdom,United States",Unavailable,https://www.justwatch.com/in/movie/daughters-2024
 The Union ,2024,Mystery & Thriller,,1h 49min,,United States,Unavailable,https://www.justwatch.com/in/movie/the-union
 Nice Girls ,2024,"Comedy, Crime, Action & Adventure",,1h 30min,,France,Unavailable,https://www.justwatch.com/in/movie/nice-girls
 Secret Lives of Orangutans ,2024,Documentary,,1h 18min,,United Kingdom,Unavailable,https://www.justwatch.com/in/movie/secret-lives-of-orangutans
